roasterName           ,roasterCountry ,roasterCity ,roasterState ,roasterURL ,roasterIG
WaxwingRoasters       ,USA            ,Kalispel    ,MT           ,""         ,"@"
OlympiaCoffeeRoasters ,USA            ,Olympia     ,WA           ,""         ,"@"
